Some weights of the model checkpoint at bert-base-cased were not used when initializing BertForSequenceClassification: ['cls.seq_relationship.bias', 'cls.predictions.decoder.weight', 'cls.seq_relationship.weight', 'cls.predictions.transform.LayerNorm.weight', 'cls.predictions.transform.LayerNorm.bias', 'cls.predictions.bias', 'cls.predictions.transform.dense.weight', 'cls.predictions.transform.dense.bias']
- This IS expected if you are initializing BertForSequenceClassification from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertForSequenceClassification from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of BertForSequenceClassification were not initialized from the model checkpoint at bert-base-cased and are newly initialized: ['classifier.bias', 'classifier.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
EPOCH 0
--------------
Step[25] | Loss at layer 0[0.6930803656578064] | Lr[5e-05]
Step[25] | Loss at layer 1[0.6916662454605103] | Lr[5e-05]
Step[25] | Loss at layer 2[0.7011874318122864] | Lr[5e-05]
Step[25] | Loss at layer 3[0.68752121925354] | Lr[5e-05]
Step[25] | Loss at layer 4[0.7688652873039246] | Lr[5e-05]
Step[25] | Loss at layer 5[0.6928467154502869] | Lr[5e-05]
Step[25] | Loss at layer 6[0.6870753169059753] | Lr[5e-05]
Step[25] | Loss at layer 7[0.7949838638305664] | Lr[5e-05]
Step[25] | Loss at layer 8[0.8623125553131104] | Lr[5e-05]
Step[25] | Loss at layer 9[0.7227717638015747] | Lr[5e-05]
Step[25] | Loss at layer 10[0.6872425675392151] | Lr[5e-05]
Step[25] | Loss at layer 11[0.7076367139816284] | Lr[5e-05]
Step[25] | Loss at layer 12[0.6977038979530334] | Lr[5e-05]
-------------------------------------------------------------------------------------------------
Step[50] | Loss at layer 0[0.6932892203330994] | Lr[5e-05]
Step[50] | Loss at layer 1[0.6921624541282654] | Lr[5e-05]
Step[50] | Loss at layer 2[0.6923559904098511] | Lr[5e-05]
Step[50] | Loss at layer 3[0.6885765194892883] | Lr[5e-05]
Step[50] | Loss at layer 4[0.7034317851066589] | Lr[5e-05]
Step[50] | Loss at layer 5[0.68902188539505] | Lr[5e-05]
Step[50] | Loss at layer 6[0.6815320253372192] | Lr[5e-05]
Step[50] | Loss at layer 7[0.7000694870948792] | Lr[5e-05]
Step[50] | Loss at layer 8[0.7236540913581848] | Lr[5e-05]
Step[50] | Loss at layer 9[0.7073049545288086] | Lr[5e-05]
Step[50] | Loss at layer 10[0.6887348890304565] | Lr[5e-05]
Step[50] | Loss at layer 11[0.6856081485748291] | Lr[5e-05]
Step[50] | Loss at layer 12[0.6939175128936768] | Lr[5e-05]
-------------------------------------------------------------------------------------------------
Step[75] | Loss at layer 0[0.6962283253669739] | Lr[5e-05]
Step[75] | Loss at layer 1[0.6957748532295227] | Lr[5e-05]
Step[75] | Loss at layer 2[0.6929700374603271] | Lr[5e-05]
Step[75] | Loss at layer 3[0.6882874965667725] | Lr[5e-05]
Step[75] | Loss at layer 4[0.6925739049911499] | Lr[5e-05]
Step[75] | Loss at layer 5[0.689448893070221] | Lr[5e-05]
Step[75] | Loss at layer 6[0.6850475668907166] | Lr[5e-05]
Step[75] | Loss at layer 7[0.6936397552490234] | Lr[5e-05]
Step[75] | Loss at layer 8[0.6966457366943359] | Lr[5e-05]
Step[75] | Loss at layer 9[0.705168604850769] | Lr[5e-05]
