Some weights of GPT2ForSequenceClassification were not initialized from the model checkpoint at gpt2 and are newly initialized: ['score.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
EPOCH 0
--------------
Step[25] | Loss at layer 0[0.6928749084472656] | Lr[5e-05]
Step[25] | Loss at layer 1[0.9079023003578186] | Lr[5e-05]
Step[25] | Loss at layer 2[0.7306009531021118] | Lr[5e-05]
Step[25] | Loss at layer 3[0.7725762724876404] | Lr[5e-05]
Step[25] | Loss at layer 4[0.9555585980415344] | Lr[5e-05]
Step[25] | Loss at layer 5[0.8430847525596619] | Lr[5e-05]
Step[25] | Loss at layer 6[0.807091474533081] | Lr[5e-05]
Step[25] | Loss at layer 7[0.8174698948860168] | Lr[5e-05]
Step[25] | Loss at layer 8[1.3198636770248413] | Lr[5e-05]
Step[25] | Loss at layer 9[1.5424084663391113] | Lr[5e-05]
Step[25] | Loss at layer 10[1.2851945161819458] | Lr[5e-05]
Step[25] | Loss at layer 11[2.4714114665985107] | Lr[5e-05]
Step[25] | Loss at layer 12[1.24737548828125] | Lr[5e-05]
-------------------------------------------------------------------------------------------------
Step[50] | Loss at layer 0[0.69171142578125] | Lr[5e-05]
Step[50] | Loss at layer 1[0.7701189517974854] | Lr[5e-05]
Step[50] | Loss at layer 2[0.6917952299118042] | Lr[5e-05]
Step[50] | Loss at layer 3[0.7343804240226746] | Lr[5e-05]
Step[50] | Loss at layer 4[0.8183520436286926] | Lr[5e-05]
Step[50] | Loss at layer 5[0.8595845103263855] | Lr[5e-05]
Step[50] | Loss at layer 6[0.7258440852165222] | Lr[5e-05]
Step[50] | Loss at layer 7[0.7644888758659363] | Lr[5e-05]
Step[50] | Loss at layer 8[0.9735369682312012] | Lr[5e-05]
Step[50] | Loss at layer 9[1.0660924911499023] | Lr[5e-05]
Step[50] | Loss at layer 10[1.0601762533187866] | Lr[5e-05]
Step[50] | Loss at layer 11[1.6300944089889526] | Lr[5e-05]
Step[50] | Loss at layer 12[1.0528972148895264] | Lr[5e-05]
-------------------------------------------------------------------------------------------------
Step[75] | Loss at layer 0[0.6882650852203369] | Lr[5e-05]
Step[75] | Loss at layer 1[0.7030383348464966] | Lr[5e-05]
Step[75] | Loss at layer 2[0.6873336434364319] | Lr[5e-05]
Step[75] | Loss at layer 3[0.7079423069953918] | Lr[5e-05]
Step[75] | Loss at layer 4[0.7548092007637024] | Lr[5e-05]
Step[75] | Loss at layer 5[0.7960463762283325] | Lr[5e-05]
Step[75] | Loss at layer 6[0.7388695478439331] | Lr[5e-05]
Step[75] | Loss at layer 7[0.7013478875160217] | Lr[5e-05]
Step[75] | Loss at layer 8[0.927223801612854] | Lr[5e-05]
Step[75] | Loss at layer 9[1.087933897972107] | Lr[5e-05]
Step[75] | Loss at layer 10[1.0078585147857666] | Lr[5e-05]
