Some weights of the model checkpoint at bert-base-cased were not used when initializing BertForSequenceClassification: ['cls.seq_relationship.bias', 'cls.predictions.transform.dense.weight', 'cls.predictions.transform.LayerNorm.bias', 'cls.predictions.transform.LayerNorm.weight', 'cls.predictions.bias', 'cls.predictions.transform.dense.bias', 'cls.seq_relationship.weight', 'cls.predictions.decoder.weight']
- This IS expected if you are initializing BertForSequenceClassification from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertForSequenceClassification from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of BertForSequenceClassification were not initialized from the model checkpoint at bert-base-cased and are newly initialized: ['classifier.bias', 'classifier.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
EPOCH 0
--------------
Step[25] | Loss at layer 0[0.6978839635848999] | Lr[5e-05]
Step[25] | Loss at layer 1[0.6971943378448486] | Lr[5e-05]
Step[25] | Loss at layer 2[0.6978344321250916] | Lr[5e-05]
Step[25] | Loss at layer 3[0.7145255208015442] | Lr[5e-05]
Step[25] | Loss at layer 4[0.9920318126678467] | Lr[5e-05]
Step[25] | Loss at layer 5[0.6976803541183472] | Lr[5e-05]
Step[25] | Loss at layer 6[0.7143781185150146] | Lr[5e-05]
Step[25] | Loss at layer 7[0.7760437726974487] | Lr[5e-05]
Step[25] | Loss at layer 8[0.7016524076461792] | Lr[5e-05]
Step[25] | Loss at layer 9[0.709883987903595] | Lr[5e-05]
Step[25] | Loss at layer 10[0.9845231175422668] | Lr[5e-05]
Step[25] | Loss at layer 11[0.7229549288749695] | Lr[5e-05]
Step[25] | Loss at layer 12[0.7193903923034668] | Lr[5e-05]
-------------------------------------------------------------------------------------------------
Step[50] | Loss at layer 0[0.6927409768104553] | Lr[5e-05]
Step[50] | Loss at layer 1[0.69200199842453] | Lr[5e-05]
Step[50] | Loss at layer 2[0.6944586038589478] | Lr[5e-05]
Step[50] | Loss at layer 3[0.6899809241294861] | Lr[5e-05]
Step[50] | Loss at layer 4[0.8131567239761353] | Lr[5e-05]
Step[50] | Loss at layer 5[0.6832913160324097] | Lr[5e-05]
Step[50] | Loss at layer 6[0.6953025460243225] | Lr[5e-05]
Step[50] | Loss at layer 7[0.7035661339759827] | Lr[5e-05]
Step[50] | Loss at layer 8[0.6954444646835327] | Lr[5e-05]
Step[50] | Loss at layer 9[0.6820263266563416] | Lr[5e-05]
Step[50] | Loss at layer 10[0.7681411504745483] | Lr[5e-05]
Step[50] | Loss at layer 11[0.6584365963935852] | Lr[5e-05]
Step[50] | Loss at layer 12[0.6922531127929688] | Lr[5e-05]
-------------------------------------------------------------------------------------------------
Step[75] | Loss at layer 0[0.6954512000083923] | Lr[5e-05]
Step[75] | Loss at layer 1[0.6942703127861023] | Lr[5e-05]
Step[75] | Loss at layer 2[0.695422351360321] | Lr[5e-05]
Step[75] | Loss at layer 3[0.688288152217865] | Lr[5e-05]
Step[75] | Loss at layer 4[0.760759174823761] | Lr[5e-05]
Step[75] | Loss at layer 5[0.688789427280426] | Lr[5e-05]
Step[75] | Loss at layer 6[0.6941823363304138] | Lr[5e-05]
Step[75] | Loss at layer 7[0.7003006339073181] | Lr[5e-05]
Step[75] | Loss at layer 8[0.6932294368743896] | Lr[5e-05]
Step[75] | Loss at layer 9[0.6859355568885803] | Lr[5e-05]
Step[75] | Loss at layer 10[0.7173932194709778] | Lr[5e-05]
Step[75] | Loss at layer 11[0.6526867747306824] | Lr[5e-05]
Step[75] | Loss at layer 12[0.6839055418968201] | Lr[5e-05]
-------------------------------------------------------------------------------------------------
Step[100] | Loss at layer 0[0.6935593485832214] | Lr[5e-05]
Step[100] | Loss at layer 1[0.6912511587142944] | Lr[5e-05]
Step[100] | Loss at layer 2[0.6938398480415344] | Lr[5e-05]
Step[100] | Loss at layer 3[0.6812044978141785] | Lr[5e-05]
Step[100] | Loss at layer 4[0.7042756676673889] | Lr[5e-05]
Step[100] | Loss at layer 5[0.678780734539032] | Lr[5e-05]
