Some weights of GPT2ForSequenceClassification were not initialized from the model checkpoint at gpt2 and are newly initialized: ['score.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
EPOCH 0
--------------
Step[25] | Loss at layer 0[0.69435715675354] | Lr[5e-05]
Step[25] | Loss at layer 1[0.695534884929657] | Lr[5e-05]
Step[25] | Loss at layer 2[0.7612351179122925] | Lr[5e-05]
Step[25] | Loss at layer 3[0.7081311345100403] | Lr[5e-05]
Step[25] | Loss at layer 4[1.294690489768982] | Lr[5e-05]
Step[25] | Loss at layer 5[0.7189876437187195] | Lr[5e-05]
Step[25] | Loss at layer 6[0.6827316880226135] | Lr[5e-05]
Step[25] | Loss at layer 7[1.3774564266204834] | Lr[5e-05]
Step[25] | Loss at layer 8[1.3173511028289795] | Lr[5e-05]
Step[25] | Loss at layer 9[1.0104351043701172] | Lr[5e-05]
Step[25] | Loss at layer 10[2.430431842803955] | Lr[5e-05]
Step[25] | Loss at layer 11[1.2793420553207397] | Lr[5e-05]
Step[25] | Loss at layer 12[1.0407071113586426] | Lr[5e-05]
-------------------------------------------------------------------------------------------------
Step[50] | Loss at layer 0[0.6919575333595276] | Lr[5e-05]
Step[50] | Loss at layer 1[0.6863644123077393] | Lr[5e-05]
Step[50] | Loss at layer 2[0.707902193069458] | Lr[5e-05]
Step[50] | Loss at layer 3[0.7017485499382019] | Lr[5e-05]
Step[50] | Loss at layer 4[0.7059328556060791] | Lr[5e-05]
Step[50] | Loss at layer 5[0.7311347723007202] | Lr[5e-05]
Step[50] | Loss at layer 6[0.7180250287055969] | Lr[5e-05]
Step[50] | Loss at layer 7[0.7333453297615051] | Lr[5e-05]
Step[50] | Loss at layer 8[0.8893038630485535] | Lr[5e-05]
Step[50] | Loss at layer 9[0.9885196685791016] | Lr[5e-05]
Step[50] | Loss at layer 10[0.9133523106575012] | Lr[5e-05]
Step[50] | Loss at layer 11[1.1835755109786987] | Lr[5e-05]
Step[50] | Loss at layer 12[0.7870473861694336] | Lr[5e-05]
-------------------------------------------------------------------------------------------------
Step[75] | Loss at layer 0[0.6900442838668823] | Lr[5e-05]
Step[75] | Loss at layer 1[0.6866706013679504] | Lr[5e-05]
Step[75] | Loss at layer 2[0.7222928404808044] | Lr[5e-05]
